Step_Index,Chosen_Token_At_Step,Candidate_Token,Rank,Probability,Log_Probability,Is_Actual_Choice
4,Let,Im,5,0.008364544533656489,-4.783753395080566,False
4,Let,Hi,6,0.005839393179967552,-5.143128395080566,False
4,Let,Hey,7,0.005153246394294976,-5.268128395080566,False
4,Let,Hello,8,0.004841026978697144,-5.330628395080566,False
4,Let,O,9,0.004547723981220551,-5.393128395080566,False
4,Let,Once,10,0.002182021812451713,-6.127503395080566,False
4,Let,I,11,0.0012432785519232252,-6.690003395080566,False
4,Let,*,12,0.0010971894711221074,-6.815003395080566,False
4,Let,Boy,13,0.0010634324999290695,-6.846253395080566,False
4,Let,So,14,0.001046945507175923,-6.861878395080566,False
4,Let,You,15,0.0010147343802405964,-6.893128395080566,False
4,Let,Little,16,0.0008679483105969875,-7.049378395080566,False
4,Let,**,17,0.0008217569440957245,-7.104065895080566,False
4,Let,Are,18,0.0008217569440957245,-7.104065895080566,False
4,Let,Do,19,0.0007902759299408532,-7.143128395080566,False
4,Let,What,20,0.0004984207814258175,-7.604065895080566,False
5,Oh,Imagine,1,0.6861733601262148,-0.3766249716281891,False
5,Oh,Let,2,0.20283246386918075,-1.5953749418258667,False
5,Oh,Oh,3,0.0769865104809266,-2.5641250610351562,True
5,Oh,Im,4,0.008637647087971817,-4.751625061035156,False
5,Oh,Wow,5,0.007622696800753979,-4.876625061035156,False
5,Oh,Hey,6,0.0025136986090237953,-5.986000061035156,False
5,Oh,Hello,7,0.002398587968967982,-6.032875061035156,False
5,Oh,O,8,0.0023247911753388824,-6.064125061035156,False
5,Oh,Hi,9,0.002083929341210296,-6.173500061035156,False
5,Oh,Once,10,0.0009247380395611058,-6.986000061035156,False
5,Oh,Boy,11,0.0008962868411271239,-7.017250061035156,False
5,Oh,**,12,0.0007666347614852157,-7.173500061035156,False
5,Oh,I,13,0.000754749191166686,-7.189125061035156,False
5,Oh,You,14,0.0005786862782304378,-7.454750061035156,False
5,Oh,*,15,0.0005697145790617864,-7.470375061035156,False
5,Oh,Are,16,0.0005608819731963648,-7.486000061035156,False
5,Oh,What,17,0.0005268998523172629,-7.548500061035156,False
5,Oh,So,18,0.00038851158800948764,-7.853187561035156,False
5,Oh,Little,19,0.0003707203470849281,-7.900062561035156,False
5,Oh,Welcome,20,0.0003565182736154766,-7.939125061035156,False
6,Let,Imagine,1,0.5203758063887919,-0.6532040238380432,False
6,Let,Let,2,0.2309153780799279,-1.4657039642333984,True
6,Let,Oh,3,0.20062275719846825,-1.6063289642333984,False
6,Let,Wow,4,0.0056912295518415056,-5.168828964233398,False
6,Let,Hi,5,0.005101585198901489,-5.278203964233398,False
6,Let,O,6,0.004867966603801548,-5.325078964233398,False
6,Let,Im,7,0.004502133136301981,-5.403203964233398,False
6,Let,I,8,0.003850878541051811,-5.559453964233398,False
6,Let,Hello,9,0.0036745339737093404,-5.606328964233398,False
6,Let,So,10,0.003242764850240358,-5.731328964233398,False
6,Let,Hey,11,0.0028617299361473154,-5.856328964233398,False
6,Let,You,12,0.002730681781275348,-5.903203964233398,False
6,Let,Little,13,0.0025652381357168324,-5.965703964233398,False
6,Let,Quant,14,0.0014166590457012393,-6.559453964233398,False
6,Let,Are,15,0.0011929465209568188,-6.731328964233398,False
6,Let,Boy,16,0.0011032951741373144,-6.809453964233398,False
6,Let,Do,17,0.0009585594587926341,-6.950078964233398,False
6,Let,*,18,0.0005813957009152812,-7.450078964233398,False
6,Let,Once,19,0.0005723819960413564,-7.465703964233398,False
6,Let,What,20,0.0005011944220303714,-7.598516464233398,False
7,Imagine,Imagine,1,0.6342639356299931,-0.4552901089191437,True
7,Imagine,Let,2,0.18458133378504601,-1.6896650791168213,False
7,Imagine,Oh,3,0.13932930052890424,-1.9709150791168213,False
7,Imagine,Im,4,0.005487457104629546,-5.2052903175354,False
7,Imagine,I,5,0.00515498888571761,-5.2677903175354,False
7,Imagine,Hi,6,0.004478731958779076,-5.4084153175354,False
7,Imagine,Hello,7,0.004207379306917249,-5.4709153175354,False
7,Imagine,Wow,8,0.0035429685934403334,-5.6427903175354,False
7,Imagine,Hey,9,0.002674373002932054,-5.9240403175354,False
7,Imagine,You,10,0.002632910692610062,-5.9396653175354,False
7,Imagine,O,11,0.0023235355310102417,-6.0646653175354,False
7,Imagine,Little,12,0.0023235355310102417,-6.0646653175354,False
7,Imagine,So,13,0.002182759629742267,-6.1271653175354,False
7,Imagine,Quant,14,0.0007543415431372683,-7.1896653175354,False
7,Imagine,Are,15,0.0006976518809301832,-7.2677903175354,False
7,Imagine,Boy,16,0.0006553832902422056,-7.3302903175354,False
7,Imagine,Do,17,0.0005433318311796651,-7.5177903175354,False
7,Imagine,Once,18,0.0005433318311796651,-7.5177903175354,False
7,Imagine,*,19,0.0005349082519080044,-7.5334153175354,False
7,Imagine,What,20,0.0005024997992491006,-7.5959153175354,False
8,Imagine,Imagine,1,0.6017077681411068,-0.507983386516571,True
8,Imagine,Let,2,0.21792409909191032,-1.5236084461212158,False
8,Imagine,Oh,3,0.14291811342639207,-1.9454834461212158,False
8,Imagine,Im,4,0.005125084800258582,-5.273608207702637,False
8,Imagine,Wow,5,0.004522871461711589,-5.398608207702637,False
8,Imagine,I,6,0.004118121329078462,-5.492358207702637,False
8,Imagine,Hello,7,0.0034140424940058154,-5.679858207702637,False
8,Imagine,Hi,8,0.003309003449104941,-5.711108207702637,False
8,Imagine,Hey,9,0.003207196115869361,-5.742358207702637,False
8,Imagine,You,10,0.002577054477348908,-5.961108207702637,False
8,Imagine,So,11,0.0023833857749696445,-6.039233207702637,False
8,Imagine,Little,12,0.0015149721732175818,-6.492358207702637,False
8,Imagine,O,13,0.0012559560448304166,-6.679858207702637,False
8,Imagine,Once,14,0.0007983342347198195,-7.132983207702637,False
8,Imagine,Quant,15,0.000540179963761052,-7.523608207702637,False
8,Imagine,Boy,16,0.0004767071448573873,-7.648608207702637,False
8,Imagine,What,17,0.0004548771353380585,-7.695483207702637,False
8,Imagine,*,18,0.0004478249190155455,-7.711108207702637,False
8,Imagine,Are,19,0.00042069257877659036,-7.773608207702637,False
8,Imagine,Do,20,0.0003741717251772676,-7.890795707702637,False
